Tipo,Velocidade
Moto,37
Pequeno,97
Medio,14
Grande,68
Moto,21
Pequeno,72
Medio,93
Grande,79
Moto,21
Pequeno,28
Medio,51
Grande,23
Moto,68
Pequeno,44
Medio,69
Grande,40
Moto,69
Pequeno,22
Medio,51
Grande,10
Moto,37
Pequeno,90
Medio,51
Grande,27
Moto,83
Pequeno,69
Medio,73
Grande,87
Moto,42
Pequeno,94
Medio,31
Grande,61
Moto,46
Pequeno,88
Medio,38
Grande,19
Moto,23
Pequeno,19
Medio,95
Grande,91
Moto,15
Pequeno,11
Medio,33
Grande,70
Moto,84
Pequeno,70
Medio,77
Grande,42
Moto,26
Pequeno,33
Medio,26
Grande,21
Moto,90
Pequeno,30
Medio,45
Grande,13
Moto,17
Pequeno,28
Medio,24
Grande,63
Moto,70
Pequeno,48
Medio,48
Grande,31
Moto,47
Pequeno,43
Medio,100
Grande,89
Moto,100
Pequeno,74
Medio,49
Grande,72
Moto,31
Pequeno,64
Medio,68
Grande,97
Moto,65
Pequeno,19
Medio,97
Grande,89
Moto,73
Pequeno,64
Medio,86
Grande,96
Moto,12
Pequeno,96
Medio,49
Grande,26
Moto,89
Pequeno,85
Medio,23
Grande,27
Moto,56
Pequeno,64
Medio,16
Grande,35
Moto,52
Pequeno,81
Medio,46
