Meses,jan/17,fev/17,mar/17,abr/17,mai/17,jun/17,jul/17,ago/17,set/17,out/17,nov/17,dez/17
0-19,927,696,3887,609,1666,1626,36,162,606,920,925,238
20-29,96,2055,7678,1781,4085,4455,234,692,1899,3838,4146,834
30-39,146,3081,8006,3284,4813,4794,514,2010,1657,5530,6728,1800
40-49,1417,5423,8110,4954,5418,5129,1727,4003,2695,6739,9423,4479
50-59,46385,56785,60100,46079,53776,49489,52811,71457,63817,63160,81708,75178
60-69,401816,420454,450261,373088,444341,423000,405424,473218,432841,446596,496251,439613
70-79,498568,461829,554796,497548,545379,523715,316903,321975,311457,373459,477017,388655
80-89,7589,6492,9239,9001,8840,8049,4587,5017,4380,5591,6153,3880
90-99,290,253,320,335,315,299,131,116,117,161,252,209
100-109,145,112,143,142,146,115,39,33,55,83,109,90
110-119,55,46,53,81,61,71,16,11,14,17,50,49
120-129,17,10,29,24,23,21,1,5,5,12,21,13
130-139,2,5,5,8,3,4,2,0,1,2,4,3
140-199,2,2,0,4,7,1,0,1,0,2,3,2
